aic_code,ean_code,name,active_ingredient,form,dosage,atc_code,manufacturer,package_desc,is_otc,requires_prescription
000000042,3471434558127,PANADOL 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Roche S.p.A.,30 compresse,true,false
000000043,2316658760363,PANADOL 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Mylan Italia S.r.l.,16 compresse,true,false
000000044,9096705466884,PANADOL 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Bristol-Myers Squibb S.r.l.,10 compresse,true,false
000000045,7346706562729,PANADOL 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Astellas Pharma S.p.A.,50 compresse,true,false
000000046,6990162720462,PARACETAMOLO EG 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Bracco S.p.A.,20 compresse,true,false
000000047,5564641708053,PARACETAMOLO EG 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Boehringer Ingelheim Italia S.p.A.,30 compresse,true,false
000000048,0033092327199,PARACETAMOLO EG 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Takeda Italia S.p.A.,16 compresse,true,false
000000049,4529912419046,PARACETAMOLO EG 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Lilly Italia S.p.A.,10 compresse,true,false
000000050,6631931491908,PARACETAMOLO EG 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Zentiva Italia S.r.l.,50 compresse,true,false
000000051,5185067165727,PARACETAMOLO EG 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Pierre Fabre Italia S.p.A.,20 compresse,true,false
000000052,8498776945311,PARACETAMOLO EG 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Chiesi Farmaceutici S.p.A.,30 compresse,true,false
000000053,3799650752731,PARACETAMOLO EG 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Zentiva Italia S.r.l.,16 compresse,true,false
000000054,5494808313670,PARACETAMOLO EG 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Amgen S.r.l.,10 compresse,true,false
000000055,7770143634952,PARACETAMOLO EG 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Ibsa Farmaceutici Italia S.r.l.,50 compresse,true,false
000000056,5685574443139,PARACETAMOLO EG 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Bracco S.p.A.,20 compresse,true,false
000000057,8233749894131,PARACETAMOLO EG 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Dompé Farmaceutici S.p.A.,30 compresse,true,false
000000058,2408240084275,PARACETAMOLO EG 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Sanofi S.r.l.,16 compresse,true,false
000000059,9477752047118,PARACETAMOLO EG 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Viatris Italia S.r.l.,10 compresse,true,false
000000060,9022941318694,PARACETAMOLO EG 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Bristol-Myers Squibb S.r.l.,50 compresse,true,false
000000061,3867749649900,PARACETAMOLO TEVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Astellas Pharma S.p.A.,20 compresse,true,false
000000062,1334123281206,PARACETAMOLO TEVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Almirall S.p.A.,30 compresse,true,false
000000063,9740344713495,PARACETAMOLO TEVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Abbvie S.r.l.,16 compresse,true,false
000000064,8324210249946,PARACETAMOLO TEVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Neopharmed Gentili S.p.A.,10 compresse,true,false
000000065,4648877190651,PARACETAMOLO TEVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Bristol-Myers Squibb S.r.l.,50 compresse,true,false
000000066,1399049027871,PARACETAMOLO TEVA 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Chiesi Farmaceutici S.p.A.,20 compresse,true,false
000000067,9671756551255,PARACETAMOLO TEVA 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Almirall S.p.A.,30 compresse,true,false
000000068,4680715451685,PARACETAMOLO TEVA 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Angelini Pharma S.r.l.,16 compresse,true,false
000000069,8760385977039,PARACETAMOLO TEVA 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Chiesi Farmaceutici S.p.A.,10 compresse,true,false
000000070,4771093248087,PARACETAMOLO TEVA 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Almirall S.p.A.,50 compresse,true,false
000000071,1712748467739,PARACETAMOLO TEVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Alfasigma S.p.A.,20 compresse,true,false
000000072,6398214658402,PARACETAMOLO TEVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Dompé Farmaceutici S.p.A.,30 compresse,true,false
000000073,9972787558863,PARACETAMOLO TEVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Alfasigma S.p.A.,16 compresse,true,false
000000074,3396360576628,PARACETAMOLO TEVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Fidia Farmaceutici S.p.A.,10 compresse,true,false
000000075,2895171870266,PARACETAMOLO TEVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Roche S.p.A.,50 compresse,true,false
000000076,4596158657808,PARACETAMOLO SANDOZ 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Astellas Pharma S.p.A.,20 compresse,true,false
000000077,4316117240052,PARACETAMOLO SANDOZ 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,EG S.p.A.,30 compresse,true,false
000000078,5623869222199,PARACETAMOLO SANDOZ 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Mylan Italia S.r.l.,16 compresse,true,false
000000079,3792374740749,PARACETAMOLO SANDOZ 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Biogen Italia S.r.l.,10 compresse,true,false
000000080,7594647436719,PARACETAMOLO SANDOZ 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Servier Italia S.p.A.,50 compresse,true,false
000000081,5944064090971,PARACETAMOLO SANDOZ 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Dompé Farmaceutici S.p.A.,20 compresse,true,false
000000082,3953394210470,PARACETAMOLO SANDOZ 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Teva Italia S.r.l.,30 compresse,true,false
000000083,2145623285880,PARACETAMOLO SANDOZ 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Chiesi Farmaceutici S.p.A.,16 compresse,true,false
000000084,4745171236853,PARACETAMOLO SANDOZ 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Novartis Farma S.p.A.,10 compresse,true,false
000000085,0481754965133,PARACETAMOLO SANDOZ 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Ibsa Farmaceutici Italia S.r.l.,50 compresse,true,false
000000086,,PARACETAMOLO SANDOZ 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Amgen S.r.l.,20 compresse,true,false
000000087,9317461200476,PARACETAMOLO SANDOZ 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Bayer S.p.A.,30 compresse,true,false
000000088,8267586926175,PARACETAMOLO SANDOZ 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Astellas Pharma S.p.A.,16 compresse,true,false
000000089,4053773515857,PARACETAMOLO SANDOZ 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,EG S.p.A.,10 compresse,true,false
000000090,3171390053291,PARACETAMOLO SANDOZ 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Takeda Italia S.p.A.,50 compresse,true,false
000000091,8393352904228,PARACETAMOLO MYLAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Biogen Italia S.r.l.,20 compresse,true,false
000000092,2102053950245,PARACETAMOLO MYLAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,EG S.p.A.,30 compresse,true,false
000000093,6811775891786,PARACETAMOLO MYLAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Boehringer Ingelheim Italia S.p.A.,16 compresse,true,false
000000094,0847007661779,PARACETAMOLO MYLAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Pfizer Italia S.r.l.,10 compresse,true,false
000000095,5921249985697,PARACETAMOLO MYLAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Farmitalia S.r.l.,50 compresse,true,false
000000096,8961183673653,PARACETAMOLO MYLAN 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Alfasigma S.p.A.,20 compresse,true,false
000000097,1565452711113,PARACETAMOLO MYLAN 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Pierre Fabre Italia S.p.A.,30 compresse,true,false
000000098,5280988516563,PARACETAMOLO MYLAN 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,EG S.p.A.,16 compresse,true,false
000000099,9451983273157,PARACETAMOLO MYLAN 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Amgen S.r.l.,10 compresse,true,false
000000100,4936899809409,PARACETAMOLO MYLAN 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,MSD Italia S.r.l.,50 compresse,true,false
000000101,4550229612011,PARACETAMOLO MYLAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Farmitalia S.r.l.,20 compresse,true,false
000000102,6752545991025,PARACETAMOLO MYLAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,AstraZeneca S.p.A.,30 compresse,true,false
000000103,0147679764380,PARACETAMOLO MYLAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Bayer S.p.A.,16 compresse,true,false
000000104,1497840369005,PARACETAMOLO MYLAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Takeda Italia S.p.A.,10 compresse,true,false
000000105,3244510762264,PARACETAMOLO MYLAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Biogen Italia S.r.l.,50 compresse,true,false
000000106,8851606071596,PARACETAMOLO DOC 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Pierre Fabre Italia S.p.A.,20 compresse,true,false
000000107,6416052975168,PARACETAMOLO DOC 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Sanofi S.r.l.,30 compresse,true,false
000000108,9681645352184,PARACETAMOLO DOC 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Bayer S.p.A.,16 compresse,true,false
000000109,3552312432927,PARACETAMOLO DOC 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Pfizer Italia S.r.l.,10 compresse,true,false
000000110,7799799552717,PARACETAMOLO DOC 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Ibsa Farmaceutici Italia S.r.l.,50 compresse,true,false
000000111,4490581477005,PARACETAMOLO DOC 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Aurobindo Pharma S.r.l.,20 compresse,true,false
000000112,1199867980798,PARACETAMOLO DOC 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Abbvie S.r.l.,30 compresse,true,false
000000113,7820715182036,PARACETAMOLO DOC 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Neopharmed Gentili S.p.A.,16 compresse,true,false
000000114,8892554665901,PARACETAMOLO DOC 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Sandoz S.p.A.,10 compresse,true,false
000000115,1864492519254,PARACETAMOLO DOC 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Italfarmaco S.p.A.,50 compresse,true,false
000000116,6291486528162,PARACETAMOLO DOC 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Pharmos S.p.A.,20 compresse,true,false
000000117,5423573322143,PARACETAMOLO DOC 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Sanofi S.r.l.,30 compresse,true,false
000000118,8805929622294,PARACETAMOLO DOC 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,AstraZeneca S.p.A.,16 compresse,true,false
000000119,0653794738347,PARACETAMOLO DOC 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Ibsa Farmaceutici Italia S.r.l.,10 compresse,true,false
000000120,3597746886236,PARACETAMOLO DOC 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Bristol-Myers Squibb S.r.l.,50 compresse,true,false
000000121,4075818141241,PARACETAMOLO ZENTIVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Neopharmed Gentili S.p.A.,20 compresse,true,false
000000122,2613750606859,PARACETAMOLO ZENTIVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Servier Italia S.p.A.,30 compresse,true,false
000000123,1530515220475,PARACETAMOLO ZENTIVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,GSK S.p.A.,16 compresse,true,false
000000124,7790104328980,PARACETAMOLO ZENTIVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Pierre Fabre Italia S.p.A.,10 compresse,true,false
000000125,4341036971176,PARACETAMOLO ZENTIVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Bristol-Myers Squibb S.r.l.,50 compresse,true,false
000000126,8932460953966,PARACETAMOLO ZENTIVA 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,MSD Italia S.r.l.,20 compresse,true,false
000000127,1851888880678,PARACETAMOLO ZENTIVA 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Teva Italia S.r.l.,30 compresse,true,false
000000128,5405153195200,PARACETAMOLO ZENTIVA 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Zentiva Italia S.r.l.,16 compresse,true,false
000000129,2772217043030,PARACETAMOLO ZENTIVA 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Teva Italia S.r.l.,10 compresse,true,false
000000130,4868740345050,PARACETAMOLO ZENTIVA 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Chiesi Farmaceutici S.p.A.,50 compresse,true,false
000000131,5667652775844,PARACETAMOLO ZENTIVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Novartis Farma S.p.A.,20 compresse,true,false
000000132,1692845115446,PARACETAMOLO ZENTIVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Neopharmed Gentili S.p.A.,30 compresse,true,false
000000133,6275705964016,PARACETAMOLO ZENTIVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Viatris Italia S.r.l.,16 compresse,true,false
000000134,2029702135566,PARACETAMOLO ZENTIVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Lilly Italia S.p.A.,10 compresse,true,false
000000135,,PARACETAMOLO ZENTIVA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Roche S.p.A.,50 compresse,true,false
000000136,5571928565438,PARACETAMOLO AUROBINDO 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Bayer S.p.A.,20 compresse,true,false
000000137,,PARACETAMOLO AUROBINDO 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,MSD Italia S.r.l.,30 compresse,true,false
000000138,6814473947311,PARACETAMOLO AUROBINDO 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,GSK S.p.A.,16 compresse,true,false
000000139,7271551884422,PARACETAMOLO AUROBINDO 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,MSD Italia S.r.l.,10 compresse,true,false
000000140,8313237058952,PARACETAMOLO AUROBINDO 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Alfasigma S.p.A.,50 compresse,true,false
000000141,8291146786695,PARACETAMOLO AUROBINDO 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Pfizer Italia S.r.l.,20 compresse,true,false
000000142,5177852892260,PARACETAMOLO AUROBINDO 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Pharmos S.p.A.,30 compresse,true,false
000000143,0182422535848,PARACETAMOLO AUROBINDO 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Novartis Farma S.p.A.,16 compresse,true,false
000000144,8424981829924,PARACETAMOLO AUROBINDO 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,AstraZeneca S.p.A.,10 compresse,true,false
000000145,9590010943967,PARACETAMOLO AUROBINDO 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Astellas Pharma S.p.A.,50 compresse,true,false
000000146,7844736471023,PARACETAMOLO AUROBINDO 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Neopharmed Gentili S.p.A.,20 compresse,true,false
000000147,7359255562584,PARACETAMOLO AUROBINDO 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Amgen S.r.l.,30 compresse,true,false
000000148,3714732104697,PARACETAMOLO AUROBINDO 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Almirall S.p.A.,16 compresse,true,false
000000149,2595327877476,PARACETAMOLO AUROBINDO 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Menarini Group,10 compresse,true,false
000000150,6873395004793,PARACETAMOLO AUROBINDO 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Ibsa Farmaceutici Italia S.r.l.,50 compresse,true,false
000000151,0162456506090,TACHIPIRINA 120 mg/5 ml SCIROPPO,paracetamolo,sciroppo,120 mg/5 ml,N02BE01,Amgen S.r.l.,150 ml sciroppo,true,false
000000152,8416878499129,TACHIPIRINA 120 mg/5 ml SCIROPPO,paracetamolo,sciroppo,120 mg/5 ml,N02BE01,Sanofi S.r.l.,120 ml sciroppo,true,false
000000153,5852398680006,TACHIPIRINA 120 mg/5 ml SCIROPPO,paracetamolo,sciroppo,120 mg/5 ml,N02BE01,GSK S.p.A.,200 ml sciroppo,true,false
000000154,7872982595262,TACHIPIRINA 160 mg/5 ml SCIROPPO,paracetamolo,sciroppo,160 mg/5 ml,N02BE01,Astellas Pharma S.p.A.,150 ml sciroppo,true,false
000000155,4958887947054,TACHIPIRINA 160 mg/5 ml SCIROPPO,paracetamolo,sciroppo,160 mg/5 ml,N02BE01,Sandoz S.p.A.,120 ml sciroppo,true,false
000000156,6940974993097,TACHIPIRINA 160 mg/5 ml SCIROPPO,paracetamolo,sciroppo,160 mg/5 ml,N02BE01,Ibsa Farmaceutici Italia S.r.l.,200 ml sciroppo,true,false
000000157,9623091307561,TACHIPIRINA 250 mg/5 ml SCIROPPO,paracetamolo,sciroppo,250 mg/5 ml,N02BE01,Roche S.p.A.,150 ml sciroppo,true,false
000000158,3689702838578,TACHIPIRINA 250 mg/5 ml SCIROPPO,paracetamolo,sciroppo,250 mg/5 ml,N02BE01,Farmitalia S.r.l.,120 ml sciroppo,true,false
000000159,2785854973349,TACHIPIRINA 250 mg/5 ml SCIROPPO,paracetamolo,sciroppo,250 mg/5 ml,N02BE01,Amgen S.r.l.,200 ml sciroppo,true,false
000000160,4437575844191,EFFERALGAN BAMBINI 120 mg/5 ml SCIROPPO,paracetamolo,sciroppo,120 mg/5 ml,N02BE01,Biogen Italia S.r.l.,150 ml sciroppo,true,false
000000161,6524041574732,EFFERALGAN BAMBINI 120 mg/5 ml SCIROPPO,paracetamolo,sciroppo,120 mg/5 ml,N02BE01,Abbvie S.r.l.,120 ml sciroppo,true,false
000000162,4842199330836,EFFERALGAN BAMBINI 120 mg/5 ml SCIROPPO,paracetamolo,sciroppo,120 mg/5 ml,N02BE01,Boehringer Ingelheim Italia S.p.A.,200 ml sciroppo,true,false
000000163,6571208267730,EFFERALGAN BAMBINI 160 mg/5 ml SCIROPPO,paracetamolo,sciroppo,160 mg/5 ml,N02BE01,Dompé Farmaceutici S.p.A.,150 ml sciroppo,true,false
000000164,0193802620672,EFFERALGAN BAMBINI 160 mg/5 ml SCIROPPO,paracetamolo,sciroppo,160 mg/5 ml,N02BE01,MSD Italia S.r.l.,120 ml sciroppo,true,false
000000165,4004991547885,EFFERALGAN BAMBINI 160 mg/5 ml SCIROPPO,paracetamolo,sciroppo,160 mg/5 ml,N02BE01,Fidia Farmaceutici S.p.A.,200 ml sciroppo,true,false
000000166,2874315274207,EFFERALGAN BAMBINI 250 mg/5 ml SCIROPPO,paracetamolo,sciroppo,250 mg/5 ml,N02BE01,Sandoz S.p.A.,150 ml sciroppo,true,false
000000167,9329668516120,EFFERALGAN BAMBINI 250 mg/5 ml SCIROPPO,paracetamolo,sciroppo,250 mg/5 ml,N02BE01,GSK S.p.A.,120 ml sciroppo,true,false
